id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,ANOS_ESPACIO,Anomaly_Score,Group
500565511,850000,0.0,0.0,440000,44,1,3,4,0.05257576211824326,Normal
500575411,5200000,1.0,0.0,4805000,50,1,4,5,0.01963253280797233,Normal
500585511,1300000,1.0,0.0,640000,50,1,4,1,0.02574697154415852,Normal
500590811,2000000,1.0,0.0,1035000,50,1,4,4,0.03846384676115204,Normal
500612212,468000,0.0,0.0,249000,50,1,4,1,0.034956264315591165,Normal
500638713,1400000,0.0,0.0,520000,54,1,3,2,0.03189957516829023,Normal
500640714,900000,0.0,0.0,515000,54,1,4,5,0.032139950061408164,Normal
500649315,2000000,0.0,0.0,1710000,54,1,3,5,0.038827983480216294,Normal
500742217,200000,0.0,0.0,0,66,1,4,1,0.025611627764566245,Normal
500746812,1300000,0.0,0.0,420000,66,1,3,5,0.044727841415087004,Normal
500751411,550000,0.0,0.0,230000,66,1,3,5,0.043508991504147373,Normal
500783413,1800000,0.0,280000.0,400000,68,0,4,2,0.009452807077280915,Normal
500786311,900000,0.0,0.0,250000,68,0,4,5,0.028289264045606194,Normal
500817711,800000,0.0,0.0,427500,68,1,4,1,0.03083399370612898,Normal
500819214,1000000,0.0,0.0,150000,68,1,2,4,-0.007824460494112576,Outlier
500821811,10000000,1.0,0.0,8054000,68,1,3,5,-0.005109719970568229,Outlier
500822511,700000,0.0,0.0,310000,68,1,3,5,0.04852500111932194,Normal
500824411,300000,0.0,0.0,25000,68,1,4,5,0.03835579292910778,Normal
500825612,1500000,0.0,0.0,700000,68,1,3,1,0.030788735377367094,Normal
500833311,1400000,0.0,0.0,394000,68,1,3,5,0.04854580028743717,Normal
500854612,1800000,0.0,0.0,800000,70,1,3,5,0.041565154543715704,Normal
500855711,1000000,0.0,0.0,500000,70,1,3,5,0.04466092886919766,Normal
500858011,1600000,0.0,0.0,750000,70,1,4,4,0.04250848604804667,Normal
500876112,6000000,0.0,0.0,4000000,70,1,3,4,0.024966797321158224,Normal
500900513,4200000,1.0,300000.0,3180000,76,1,4,1,0.009256695255105293,Normal
500940511,1605000,0.0,0.0,894261,76,1,2,5,0.0016057389909306177,Normal
500974812,1930000,0.0,0.0,926000,76,0,3,5,0.035303377649122836,Normal
500984116,1320000,1.0,0.0,840000,13,1,4,1,0.029188868685911203,Normal
500992711,5000000,0.0,0.0,2400000,18,1,3,4,0.03360541379342597,Normal
501036611,714000,0.0,0.0,214000,44,1,4,2,0.04031005973998436,Normal
501081611,1600000,0.0,0.0,724000,73,1,3,4,0.04043543534583118,Normal
501102911,4000000,1.0,0.0,2104000,76,0,3,5,0.020084062043829336,Normal
501142411,900000,0.0,0.0,665000,76,1,4,3,0.05299321734075206,Normal
501159811,1111764,0.0,0.0,400012,68,0,4,5,0.028318262923688487,Normal
501195411,400000,0.0,0.0,25000,5,1,3,5,0.054544728731485935,Normal
501196812,1440000,0.0,0.0,265000,5,1,3,5,0.05806055664994916,Normal
501225111,3100000,0.0,0.0,1560000,18,1,4,4,0.03512545736355524,Normal
501236011,2300000,0.0,0.0,1785000,27,1,3,5,0.036468804038980666,Normal
501240211,1350000,0.0,0.0,1221000,27,1,4,4,0.030612765008471734,Normal
501253811,800000,0.0,0.0,880000,27,1,3,5,0.041082584079273975,Normal
501269411,60000,0.0,0.0,0,27,1,2,5,-0.013638233929456733,Outlier
501269413,100000,0.0,0.0,90000,27,1,2,5,-0.013069471462554202,Outlier
501273311,500000,1.0,0.0,3000000,27,1,3,5,0.02213809410352574,Normal
